Location,Name,count
"Lexington Ave, E 129 To E 130 Sts",Harlem River Park,10
"E 127 St, 2 Ave & Harlem River Drive",Crack Is Wack Playground,6
W/s 7 Ave Bet W 127 & W 129 Sts,St Nicholas South Playground,26
"W/s 7 Ave, W 130 St",St Nicholas North Playground,25
"N/s E 104 St, Madison & Park Aves",Mae Grant Playground,158
E 102 To E 104 Sts & 2 Ave,Blake Hobbs Park,149
"99 To 100 Sts, 3 Ave",Washington Playground,30
"W 155 St, 8 Ave To Harlem River Drive",Holcombe Rucker Playground,25
"W 135 To W 136 Sts, Lenox To 5 Aves",Howard Bennett Playground,24
Spring & Mulberry Sts,Desalvio Playground,381
W 78 St & Amsterdam Ave,Tecumseh Playground,113
E/s Amsterdam Ave Bet W 100 & W 102 Sts,Frederick Douglass Playground,126
"N/s W 49 St, 9 & 10 Aves",Gutenberg Playground,487
"Thompson & Canal Sts, Ave Of Americas",Grand Canal Court,177
"Amsterdam Ave, W 136 St",Jacob Schiff Playground,37
N/s E 120 St Bet 1 & 2 Aves,Wagner Playground,9
"2 Ave, E 19 To E 20 Sts",Augustus Saint Gaudens,179
"E 20 To E 21 Sts, 1 To 2 Aves",Peter's Field,176
"Jackson, Madison, Henry Sts",Henry M Jackson Playground,41
W 97 St & Amsterdam Ave,Happy Warrior Playground,119
E 109 St Bet 2 & 3 Aves,Poor Richards Playground,144
W 70 St Bet West End & Amsterdam Aves,Playground 70,168
St Nicholas Ave & W 156 St,Orville & Wilbur Playground,37
"Broadway, Henry St, Gouverneur St",Sol Lain Playground,64
"Lexington Ave, E 95 To E 96 Sts",Samuel Seabury Playground,168
Hudson Bet Gansevoort & Horatio Sts,Corporal John A Seravalli Playground,76
"Amsterdam Ave, W 104 & W 105 Sts",Bloomingdale Playground,143
"E 117 To E 118 Sts, 1 To 2 Aves",Ps 155 Playground,8
"Audubon Ave, W 169 & W 170 Sts",Audubon Playground,69
N/s Rivington & Attorney Sts,Nathan Straus Playground,177
"Park Ave, E 120 To E 121 Sts",Eugene Mccabe Field,18
"Columbus Ave, W 91 To W 92 Sts, Central Park W",Sol Bloom Playground,45
"7 To 8 Aves, W 143 To W 144 Sts",Ps 194 Playground,45
"W 26, 8 To 9 Aves",Penn South Playground,7
"Hudson, Bleecker & W 11 Sts",Bleecker Playground,306
"E 48 To E 49 Sts, Gen Douglas Macarthur Plaza",Mcarthur Park,251
"W 22 St, 10 Ave",Clement Clarke Moore Park,19
"Fdr Drive, E 106 To E 107 Sts",East River Playground,1
"Ave A, E 3-e 4 Sts",Mckinley Playground,234
"E 26 To E 28 Sts, 2 Ave",Bellevue South Park,173
"S/s W 89 St, Amsterdam & Columbus Aves",Playground Eighty Nine Lxxxix,145
"N/s E 29 St, W/s 2 Ave",Vincent F Albano Jr Playground,203
"Szold Pl, E 10 St",Dry Dock Playground,41
"E/s 10 Ave, W 47 To W 48 St",Hells Kitchen Park,486
"RIVER TERR,  CHAMBERS STREET.",Rockefeller North Park Playground North,34
"RIVER TERR, WARREN STREET",Nelson Rockefeller Playground,30
"RIVER TERR, MURRAY STREET",Nelson Rockefeller Park Playground South,41
"Between Lexington & 3 Avenues, East 122 & 123 Streets",Dr. Ronald E. McNair Playground,21
"E 90 St, York Ave, Fdr Drive",DeKovats Playground,13
47th St Between 8th && 9th Aves,Ramon Aponte Park,519
E.101st St Bet. 3rd And Lexington Aves.,Scan Playground,161
Second Ave B/w E. 90 And E. 91 Sts,Ruppert Park,298
Mercer St Between Bleecker St And West 3rd St,Mercer Playground,287
W. 90th St B/w Broadway & Amsterdam Ave,St. Gregory's Park,144
W139th St Bet A. Clayton Powell Jr Blvd& Malcom X,Abyssinian Tot Lot,50
"W.186 St, Audubon, St. Nicholas Aves",West 186th St Basketball Court,61
G CENTRAL PKWY (UPPER AREA),Wild Flower Meadow,1
HORATIO PKWY & 50th Ave,Horatio Playground,0
NR SPRINGFIELD LOT/BALLFIELDS,Alley Pond Park: Near Ballfield,0
"WINCHESTER BLVD, UNION TPKE",Alley Athletic Playground,0
"Rene Ct, Grandview Av, Stanhope St, Fairview Av",Grover Cleveland Park,18
SHORE BLVD OPP 23 AVE,Charybdis Playground,3
SUTPHIN BLVD & 125 AVE,Sutphin Playground,10
LAKEVIEW LANE & 122 AVE,Lakeview Lane Playground,8
157 ST & 116 AVE,157th St Playground,5
119 AVE & 155 ST,Baisley Pond Park Q005-06,3
150 ST & 130 AVE,Baisley Park South,4
"29 AND 32 AVES, 158 TO 159 STS",Bowne Playground,0
BEACH  32  ST  &  DICKENS AVE,Bayswater Playground,1
BROOKVILLE BLVD & 143 AVE,Brookville Playground,0
"BROOKVILLE BLVD, 144 AVE &  CANEY RD.",Brookville Park,0
POPPENHUSEN AVE OPP 119 ST,Macneil Playground,32
"21 Ave, 124 St, 20 Ave, 123 St",Poppenhusen Playground,24
33 AVE & 214 PL,Buz O' Rourke Playground,8
"Whitney Ave, Judge St, 43 Ave",Veterans Grove,44
"30 Rd, 45 To 46 Sts",Astoria Heights Playground (jhs 10),112
"UNION TPKE, PARK LANE S, ADJ OVERLOOK",Sobelsohn Park,17
108 ST & MYRTLE AVE,Jackson Pond Playground,0
"MYRTLE AVE, WOODHAVEN BLVD",Greenhouse Playground,1
UNION TPKE & 71 DRIVE,Joseph Devoy Playground,29
80 ST & MYRTLE AVE,Dry Harbor Playground,3
"FREEDOM DR, PK LANE S, 102 ST",Giovannelli Playground,11
79 ST & PARK LANE SOUTH,Mary Whalen Playground,15
"46 Ave, 165 St, 164 St",Martins Field,0
JAMAICA AVE & ELTON ST,Lower Highland Playground,10
HEALTH PL & HIGHLAND BLVD,Upper Highland Playground,3
193RD ST AND RADNOR ROAD,Upper Playground,2
N/O G C PKWY OPP 193 ST,Redwood Playground,3
210 ST & 73 AVE,210th St Playground,0
"Mclauglin Ave W/o F Lewis Blvd,grand Central Pkwy",Mclaughlin Playground,0
"S/o L I Exwy, 210 & Oceania Sts",Seven Gables Playground,2
"37 Ave, Parsons Blvd","Weeping Beech, Margaret I Carmen Green",58
JAMAICA AVE & 153 ST,Rufus King Park,38
164 ST & LITHONIA,Playground,0
BOOTH MEMORIAL AVE & 160 ST,Four Winds Playground,1
ROSE & OAK AVES,Playground,0
"41 To 42 Aves, 103 St",Linden Park,38
120TH AVE & 238TH STREET,Laurelton Parkway West,1
"52 St, Woodside Ave, 39 Rd, 39 Dr, 54 St",Windmuller Playground,27
"Madison St, Fresh Pond Rd",Benninger Playground,43
"92 St, 56 Ave",Newtown Playground,33
"Greenpoint Ave, 43 St, 47 Ave, 42 St",Noonan Playground,99
"49 Ave, Vernon Blvd, 5 St",Andrews Playground,42
"Alstyne Ave, 102 St, Corona Ave",Josephine Caminiti Playground,15
34 AVE & VERNON BLVD,Rainey Park Playground,3
174 ST & 113 AVE,174 St Playground,6
85 AVE & 165 ST,Captain Tilly Playground,10
"88 To 89 Aves, 90 St, Woodhaven Blvd",Equity Park,30
"Hoyt Ave, 21 To 23 Sts",Triborough Bridge Playground B,17
"Hoyt Ave, 23 To 24 Sts",Triborough Bridge Playground C,19
"Hoyt Ave, 24 St To Crescent St",Triborough Bridge Playground D,24
"Hoyt Ave, Crescent St, 26 St",Triborough Bridge Playground E,24
"Hoyt Ave, 29 To 31 Sts",Hoyt Playground,22
"65 To 69 Sts, 37 Ave, Broadway",Hart Playground,47
Hollis Ave & Robard Lane,Wayanda Park,9
"30 Ave, 85 St, 25 Ave, 84 St",Gorman Playground,13
149 ST & 25 AVE,Leonardo Ingravallo Playground,0
"20 AVE, WHITESTONE EXWY",Harvey Playground,2
"N Conduit Ave, 134 St, 135 Ave, 130 Pl",Police Officer Edward Byrne Park,2
"BET 81-82 STS, N CONDUIT AVE",Addabbo Playground,3
"Southern Pkwy, 231 To 234 Sts",Mentone Playground,0
"N Conduit Ave, 120 To 122 Sts",Lefferts Playground,5
"Broadway, 78 To 79 Sts",Frank D O'connor Park,97
62ND DRIVE AND GRAND CENTRAL PKWY SERVICE RD.,World's Fair Playground,1
JEWEL AVE & VAN WYCK EXWY,Triassic Playground,0
W/S OF MEADOW LAKE & G C PKWY,Jurassic Playground,1
"COLLEGE PT BLVD, BOTANIC GDNS",Lawrence Playground,23
111 ST & SAULTELL & 56 AVES,Playground For All Children,3
PARK DR EAST & 73 TERRACE,Albert H. Mauro Playground,0
BEHIND TENNIS CENTER,Playground,93
ON PATH BETWEEN PASSARELLE BUILDING AND FOUNTAIN OF PLANETS (IN ZONE 14),Buzz Vollmer Playground,1
"68 Rd, 79 St, 69 Ave",Middle Village Playground,14
"80TH ST, JUNIPER BLVD S, 77TH PLACE, JUNIPER BLVD N, 78TH ST",Juniper North Playground Tennis,8
"72 ST, 74ST, JUNIPER BLVD SOUTH",Juniper South Playground,6
"33 Ave, 210 St, 32 Ave, Cpl Kennedy St",Raymond O'connor Park,0
"VERNON BLVD, 40 & 41 AVES",Vernon Playground,1
41ST RD AND 12TH ST (EAST OF VERNON BLVD),Queensbridge Baby Park,5
,VERNON PLAYGROUND,1
"Archer Ave, 138 Pl, 91 Ave, 138 St",Howard Von Dohlen Playground,23
"113 & Murdock Aves, 196 St",Daniel M O'connell Playground,3
147 AVE & 184 ST,Springfield Playground,0
"Brookville Blvd, S/o 136 Ave",Laurelton Playground,9
"Liberty Ave, 101 To 102 Sts",Police Officer Nicholas Demuti,19
"111 Ave, 134 & 135 Sts, Lincoln St",Frederick B Judge Playground,2
"179 Pl, N/o Jamaica Ave",Harvard Playground,28
"LIBERTY AVE, 172-173 STS",K.l. Williams Playground (tennis),16
"96 St, 34 Ave, Junction Blvd",Junction Playground,25
"14 St, 31 Ave",Astoria Health Center Playground,4
3 AVE & 147 ST,Francis Lewis Playground,2
"109 Ave, 157 St, 108 Ave, 155 St",Marconi Park,6
"88 To 89 Sts, Atlantic To 95 Aves",London Planetree Playground,39
125 ST & ATLANTIC AVE,"Phil ""scooter"" Rizzuto Park",23
"CENTER OF PK, L I E SVCE RD, 54 AVE BETWEEN 63 AND 61 STS",Virginia Principe Playground,1
225 St & 104 Ave,Pat Williams Playground,2
224 ST & 101 AVE,Hempstead Bench Stretch,2
Braddock Ave & 240 St,Breininger Park,13
224 STREET & 101 AVE,Playground,4
"14 Rd, 115 St, 14 Ave",115th Street Playground,0
"21 St, 45 Ave, 11 St, 45 Rd",Murray Playground,23
Boardwalk & Beach 59-60 Sts,Beach 59th Street Playground,0
"Boardwalk, Bet Beach 48 St & Beach 48 Way",Playground (undeveloped),0
Boardwalk Bet Beach 42-43 Sts,Playground,2
Boardwalk Bet Beach 39-42 Sts,Playground,1
Boardwalk Bet Beach 26-28 Sts,Playground (undeveloped),1
BEACH 17 ST & SEAGIRT BLVD,Beach 17th Street Playground,1
B 9 ST N OF BOARDWALK,Beach 9th Street Playground,0
B 109 ST & SHORE FRONT PKWY,Hockey Rink,6
B 84 ST & SHORE FRONT PKWY,Rockaway Playground - M,9
B 82 ST & SHORE FRONT PKWY,Rockaway Playground - N,8
SHOREFRONT PARKWAY AND BEACH 73 ST,Rockaway Beach Playground,0
"30 To 31 Aves & Boody St, Bklyn-queens Exwy",St Michaels Playground,6
"61 St, N/s Bklyn-queens Exwy",Big Bush Park,87
"63 St, 48 Ave, Bklyn-queens Exwy, 64 St","Nathan Weidenbaum Park, Little Bush Park",87
"Merrick Blvd, 120 Ave, Baisley Blvd",Nautilus Playground,4
Kissena Blvd & Maple Ave,Maple Playground,143
137 St & 77 Ave,Queens Valley Playground,8
"37 Ave, 28 St, 36 Ave, Crescent St",Dutch Kills Playground (ps 112),7
"Van Wyck Exwy, 106 Ave, 142 St, 104 Ave",Norelli-hargreaves Playground,8
"VAN WYCK EXWY, 116 AVE, 140 ST, 115 AVE",Dr Charles R Drew Memorial Park,1
"Van Wyck Exwy, Rockaway Blvd, 140 St, 120 Ave",Playground One-forty,21
MANTON ST & 83 AVE,Manton Playground,8
"73 Ave, 195 St & 196 Pl",Farm Playground/ps 26,0
"HALLETS COVE, VERNON BLVD",Hallets Cove Playground (area A),1
1 ST & E RIVER,Hallets Point Playground (area B),0
"Mott & Westbourne Aves, B 25 St",Westbourne Playground,1
"133 Ave, 101 To 103 Sts",John Adams Playground,11
"78 Ave, 74 To 75 Sts",Seventies Playground,6
"Central Ave, 70th And 71st Street",Glendale Playground,15
"Onderdonk & Willoughby Aves, Starr St",Starr Playground,12
201 To 202 Sts Bet 53 & 56 Aves,Saul Weprin Playground,1
"73 Ave, Jewel Ave, Utopia Pkwy",Utopia Playground,13
Steinway St & 35 Ave,Playground Thirty-five,31
"47 To 48 Sts, 20 Ave",Steinway Community Playground,2
146 ST & 56 RD,Playground 146,63
COLDEN ST & GERANIUM AVE,Silent Springs Playground,88
KISSENA BLVD & BOOTH MEM AVE,Captain Mario Fajardo Park,10
COLDEN & JUNIPER STS,Rachel Carson Playground,87
PECK AVE & 188 ST,Underhill Playground,16
"Horace Harding Blvd, Bishop Reilly Hs, Peck Ave",Holy Cow Playground,1
"109 Av & Brinkerhoff Ave, 160 & Union Hall Sts",Jamaica Playground (ps 40),4
"St. Felix & 75 Av, 60th St",Evergreen Park (ps 68),32
"34 Ave, 78 St, 77 St",Travers Park,20
Austin St Bet 76 Ave & 76 Dr,Ehrenreich-austin Playground,34
"65 Pl & 68 Ave, Catalpa Ave",Mafera Park,3
Alderton St From Dieterle To Elwell Crescents,The Painter's Playground,7
121 Ave & 237 St,Delphin Greene Playground,1
Sanford Ave From Union To Bowne Sts,Bowne Playground,123
74 Ave & 260 St,Tenney Park,8
Arverne Blvd & B 55 St,Arverne Playground,1
67 Ave & 173 St,Fresh Meadows Playground,7
"64 Ave, 218 & 219 Sts",Tall Oak Playground,32
"80 Ave, 261 & 262 Sts",Playground Eighty (lxxx),9
Yellowstone Blvd Bet 65 Rd & 65 Ave,Annadale Playground,11
"70 Rd To 71 Ave, 150 St To Kissena Blvd",Vleigh Playground,13
"29 To 30 Aves, 14 To 21 Sts",Ps 171 - Van Alst Playground,50
"89 Ave, 207 & 208 Sts",Bellaire Playground,12
"40 Rd, Prince & Main Sts",Bland Playground,186
Little Neck Pkwy & 72 Ave,Castlewood Playground,0
"85 Ave, 248 & 249 Sts",Bellerose Playground,7
"Kissena Blvd, 65 Ave",Pomonok Playground,15
"192 St, S/s 121 Ave",Locust Manor Playground,3
"20 Ave, 37 St, 38 St",Woodtree Playground,62
"35 Ave, 21 St, 34 Ave",Ravenswood Playground,3
"163 To 166 Sts, 21 Ave To 21 Rd",Playground Twenty-one,11
"68 Ave, Booth To Austin Sts",Russell Sage Playground,79
"Vleigh Pl, 141 St & Union Tpke",Vleigh Place Playground,7
Atlantic Ave Bet 104 & 106 Sts,Maurice A Fitzgerald Playground,6
"Little Neck Pkwy, 42 To 43 Aves",Admiral Park,29
"Francis Lewis Blvd, 120 Ave And 121 Ave",Cabbell Park,0
Skillman Ave & 43 St,Tornsey Playground,72
"W/s 164 St, S/o 65 Ave",Electric Playground,0
152 St Bet 11 & 12 Aves,Whitestone Playground,5
164 St Bet Jewel & 71 Aves,Emerald Playground,5
B 12 St & Redfern Ave,Redfern Playground,2
W/s 251 St Bet 61 & 63 Aves,Challenge Playground,1
Union St & 31 Rd,Cadwallader Colden Playground,94
Grand Central Pkwy Bet 71 & 72 Aves,Willow Lake Playground,14
"Bell Blvd, 75 Ave & 217 St",Telephone Playground,4
"Liberty Ave, 183 Pl, 104 Ave",Peters Field,7
"82 Ave, 256 To 257 Sts",Hillside Park,10
"Grassmere Terr, Brookhaven Ave, Briar Pl",Grassmere Playground,19
"75 Ave, 160 To 162 Sts",Playground Seventy-five,2
67 Ave & 230 St,Alley Park,0
"Horace Harding Exwy, 99 St, 62 Ave, 102 St",Real Good Park,3
"102 St, 62 Ave & Yellowstone Blvd",Handball Haven,5
138 St & Service Rd S/s Horace Harding Exwy,Turtle Playground,16
"S/s Hillside Ave, E/o 235 Ct",Gunn Park (ps 18),8
S/s Jamaica Ave Bet 202 & 204 Sts,Haggerty Park,7
"N/s Queens-midtown Exwy, 84 St To 57 Ave",Crowley Playground,5
"58 Ave Bet Brown Pl & 69st, S/s Queens Midtown Exp",Frontera Park,28
Hoffman Dr & Seabury St,Hoffman Playground,38
"Tunnel Plaza, 50 Ave, 11 St",Bridge And Tunnel Park,38
"Broadway, 45 Ave & 82 St",Cc Moore Homestead Park,107
Northern Blvd & 90 St,Playground Ninety Xc,155
Northern Blvd & 93 St,Northern Playground,18
46 Ave & 211 St,Marie Curie Park,32
"W/s 77 St, N/s 25 Ave",Bulova Park,20
B 83 St & Rockaway Beach Blvd,Hammel Playground,7
52 Ave Bet 248 St & Marathon Pkwy,Louis Pasteur Park,11
Vleigh Pl & Main St,Freedom Square,11
B 54 ST & ALMEDA AVE,Rockaway Community Playground,0
25 Ave Bet 98 & 100 Sts,East Elmhurst Playground,71
166 St Bet 16 Ave & 16 Rd,Willets Point Playground,5
Main St & Gravett Rd,Cedar Grove Playground,5
Yellowstone Blvd Bet 62 Ave & 62 Rd,Playground Sixty-two,4
101 Ave Bet 82 & 83 Sts,Ampere Playground,5
148 St & 85 Ave,Briarwood Playground,5
42 Ave At Francis Lewis Blvd,Francis Lewis Playground,15
Beach Channel Dr Bet B 56 & B 57 Sts,Cardozo Playground,1
"23 Ave-ditmars Blvd, Steinway St",Ditmars Park,46
"96 St, Centreville St & Albert Rd",Centerville Playground,5
Beach Channel Dr & Seaside Ave,Bayside Playground/jhs 180 Playground,2
Clintonville St Bet 17 Ave & 17 Rd,Clintonville Playground,6
Grand Central Pkwy Bet 164 Pl & 168 St,Joseph Austin Playground,1
Beach Channel Dr & B 49 St,Conch Playground,1
"20 Rd-20 Ave, 37-38 Sts",Steinway Playground (jhs 141),70
Springfield Blvd Bet Eastgate Plaza & 139 Ave,Montbellier Park,4
35 Ave Bet 171 & 172 Sts,Auburndale Playground,17
"Woodward Ave, Woodbine St, Fairview Ave, Madison S",Rosemary's Playground,58
Northeast Corner of 212th Street and 23rd Avenue,Bay Terrace Playground,4
E/s Springfield Blvd & 54 Ave,Oakland Gardens,9
Queens Blvd Bet 62 Ave & 62 Rd,Lost Battalion Hall,35
167 St & 109 Ave,Latimer Playground,14
"S/s Hammels Blvd, B 80-b 79 Sts, Beach Channel Dr",Beach Channel Playground,0
115 Rd Bet 218 & 219 Sts,East Springfield Playground,10
"204 St, Hollis Ave, 205 St, 111 Ave",Hollis Playground,9
"Springfield Blvd, 145 Rd, Arthur St",Springfield Park North Jhs 231,1
"B 8 St, Lanett Ave, B 9 St",Lannett Playground,0
155 Ave Bet 84 & 85 Sts,Harold Schneiderman Playground,7
NR GUY BREWER BLVD & 134 AVE,Rochdale Park (jhs 72),6
"N Conduit Ave, Arion Rd, 149 Ave",Rocket Park,9
37 Ave Bet 112 & 113 Sts,Louis Armstrong Playground,24
147 St Bet 26 & 27 Aves,Edward Hart T Playground,0
89 St & 160 Ave,Walter Ward Playground,5
St Marks Ave & B 109 St,Seaside Playground,6
"Fresh Pond Rd, 63 St, 59 Drive",Reiff Playground,20
YELLOWSTONE BLVD BET 68 AVE & 68 RD,Katzman Playground,27
Baisley Blvd & Bedell St,North Rochdale Playground,11
173 St & 137 Ave,South Rochdale Playground,1
62 Dr Bet 97 & 98 Sts,Horace Harding Playground,28
36 Ave Bet 9 & 10 Sts,Spirit Playground,3
"149 Rd, Weller Lane, 149 Ave, 253 St",Sunrise Playground,1
"51 Pl, 74 St, 51 Ave",Long Island Mews,1
"29 St, 30 St, 30 Ave, Newtown Ave",Athens Square,22
"Murray St, Barclay Ave, 156 St, Sanford Ave",Murray Hill Playground,39
W/s 98 St Bet Northern Blvd & 32 Ave,Tot Lot Park,25
"B 65 St, Beach Channel Dr",Almeda Playground,7
"38 St, 31 Av & Brwy Btwn 31 Av & Broadway",Sean's Place,79
136 ST & 14 RD,136 St Playground,0
"NEAR THE RECREATION BUILDING; OFF BAISLEY AVE",Playground,4
109 St Bet 46-47 Aves,Corona Golf Playground,21
Cross Bay Blvd Bet 196 & 197 Aves,Gene Gray Playground,4
"14th Ave, 121st St, College Pt Blvd",College Point Park,51
"Cross Bay Blvd, 100 Pl, E 18 Rd, 203 Ave",Broad Channel Park,1
"Lewis Ave,101 St, 102 St",Corona Mac Park,15
CLOVE RD & CHESHIRE PL,Clove Lakes Park Playground,5
CLOVE ROAD & FOREST AVE,Saturn Play Equipment,5
BILLOPS AVE AND SWINNERTON ST.,Conference House Park,0
"Richmond Terr To Kill Van Kull, Faber St",Faber Park,10
"High St, Lyman Ave, Bay & Summer Sts",White Playground,4
"Delafield Pl, Bard & Davis Aves",Walker Park,2
UNIVERSITY PL & REVERE ST,Silver Lake Park,9
"Beechwood Ave, Crescent & Cleveland Sts",Mahoney Playground,4
"Mill Rd, Weed Ave, Tysens Lane",Dugan Playground,1
Corner of Bartow Ave and Page Ave,Aesop Playground,3
RICHMOND AVE /ELTON/ NR BOATHSE,Willowbrook Park,6
BETWEEN PARK BUILDING AND POND,Wolfes Pond Park,0
"END OF CORNELIA AVE, OPP HOCKEY RINK",Wolfes Pond Park,0
Jewett & Castleton Aves,Levy Playground,9
"Forest Ave, Myrtle Ave",McDonald Playground,15
"Tompkins Ave, Chestnut St & Shaughnessy Lane",De Matti Playground,6
"Harbor Rd, Richmond Terrace",Mariners Harbor Playground,0
"Winter Ave, Bismark Ave",Liotti Ikefugi Playgound,24
"Lincoln, Mason, Midland, Boundary, Bedford Aves",Midland Playground,4
"Midland, Mason, Bedford Aves",Midland Field,4
"Virginia Ave, Anderson St",Kaltenmeir Playground,19
"WILD AVE, PEARSON ST",Schmul Park,6
CAPADONNO BLVD & SAND LANE,Playland,6
"BET MILLER FIELD, GREELY AVE",Midland Playground,2
"BET GRAHAM BLVD, JEFFERSON AVE",Midland Beach Playground,2
Harvest Davis To Lawrence Avenues,Ps 45 Playground,13
"Foster, Carlton, Burchard Aves",Carlton Park,0
"Tompkins Ave, Broad & Hill Sts",Stapleton Playground,12
"Sand Lane, Major & Mcfarland Aves",Arrochar Playground,7
"Parkinson Ave, Kramer St",Old Town Playground,15
"Schmidts Lane, Manor Rd & Laguardia Ave",Toad Hall Playground,13
INSIDE WILLOWBROOK PARK ADJ TO CAROUSEL FOR ALL CHILDREN,Adventure Station,6
WOODHULL AV & DRUMGOOLE RD EAST,Woodhull Playground,0
Dongan Hills Ave & Sirr,Macarthur Park,15
"Grandview Ave, Continental Pl",Grandview Playground,7
"Foote Ave, Howard Ave & Martha St",Terrace Playground,2
"Hillcrest Ave, N/o Highmount Rd",Great Kills Veterans Playground,18
"Adelaide Ave, Clawson Rd",Clawson Playground,0
"Targee St, Naples St",Naples Playground,5
"Willowbrook Pkwy, Forest Ave & Houston St",Markham Playground,25
"HYLAN BLVD, SHARROTT & SEGUINE AVES",Lemon Creek Park,1
"Hylan Blvd, Huguenot, Edith & Sycamore Aves",Prescott Playground,0
"Layton Ave, Bismark Ave",Davis Playground,7
"Mason, Buel, Dongan Hills Aves",Dongan Playground,5
"Redgrave, Greencroft Sts, Ainsworth & Durant Aves",Greencroft Playground,0
"Preston Ave, Koch Blvd, Arden Rd & Osborne St",Double Nickel Playground/ps 55,1
"Richmond Pkwy, Heenan, N Railroad Aves",Ida Court,0
"Elizabeth St,forest Ave,broadway,clove Lakes Pl",Prall Playground,13
"DRUMGOOLE RD, MAGUIRE AVE",Bloomingdale Park,0
"BROADWAY, WAYNE ST.",Cpl Thompson Park,8
"Joline Ave, Hylan Blvd",Tottenville Pool,1
"N/s Wall St, St Marks Pl & Belmont Pl",Lt Lia Playground,25
"Jules Dr, Elson Ct, Regis Dr",Jennifer's Playground,0
Arnold St & Prospect Av Bet Harvard Av & Clyde Pl,Skyline Playground,4
Targee Street & Oder Avenue,Luis R Lopez Park,6
"Sobel Ct, Vanderbilt Av, Oder Av",Sobel Court Park,11
W 181 ST & AQUEDUCT AVE,Aqueduct Lands Playground,25
MORTON PL & UNIVERSITY AVE,Morton Playground,42
"LYDIG AVE, BRONX PK E",Ben Abrams Playground,26
"BRONXDALE AVE, BRONX PK E",Brady Playground,22
"WARING AVE, BRONX PK E",Waring Playground,7
"EAST 180TH ST, BOSTON RD",River Park,22
"E 204 ST, W/S BRONX PARK",French Charley Playground,5
MOSHOLU PKWY/WEBSTER AVE/BOTANICAL SQUARE,Frisch Field In Bronx Park,12
BRONX RIVER PKWY & ROSEWOOD ST,Rosewood Playground,32
E 227 ST/BRONX RIVER PARKWAY,227st Playground,4
"E 219 ST, BX RIVER PKWY",Olinville Playground,18
"MORRISON AVE, WATSON AVE",Parque De Los Ninos,33
E 170 ST & TELLER AVE,Claremont Park,7
MT EDEN & MORRIS AVE,Claremont Park,7
"CROTONA AVE, CORTONA PK N",Crotona Playground (1),34
CROTONA N BET MARMION/PROSPECT,Prospect Park (2),12
CROTONA N BET WATERLOO/MARMION,Crotona Playground (3),10
CROTONA E BET WATERLOO/E 173,Crotona Playground (4),6
CROTONA PK E @ E 173 ST,Hill & Dale Playground,6
CROTONA E-SUBURBAN/CHARLOTTE,Boxcar Playground (6),5
CROTONA E-CLAREMONT/CHARLOTTE,Carter Playground (7),3
CROTONA E-CLAREMONT/PROSPECT,Martin Van Buren Playground,4
CROTONA S-CLINTON/PROSPECT,Clinton Playground,7
FULTON AVE BET ST PAUL/ E171,Playground Of The Stars,4
FULTON AVE E 172 ST/CLAREMONT,Crotona Playground (11),2
"FULTON AVE, E 173 - E 174 STS",Bathgate Playground,28
COR E TREMONT & ARTHUR AVES,Tremont Playground (1),44
COR E 175 ST & ARTHUR AVE,Tremont Playground (2),42
W 188 ST & UNIVERSITY AVE,Devoe Park,26
SEDGWICK AVE & FORDHAM AVE,Devoe Park,12
"E 165 St, Hall Pl, Rogers Pl",Horseshoe Playground,17
"LOWER LEVEL, E TREMONT AVE",Echo Park,31
"E 178 ST, UPPER LEVEL",Upper,37
"Sedgwick Ave, Stevenson Pl, Jerome Pk Reservoir",Fort Independence Playground,3
"Fulton Ave, Bet E 169 & E 170 Sts",Drew Playground,5
"Fulton To Franklin Aves, S/o E 167 St",Hines Park,63
"Aldus St, Bryant, Longfellow Aves, Bruckner Blvd",Lyons Square Playground,18
E 158TH ST & RUPPERT PLAZA,Macombs Dam Park,10
SUMMIT AVE & 161 STREET,Summit Playground,6
"E 161 St To E 162 St, Courtlandt Ave To Nycrr",Railroad Park,12
MOSHOLU PWY N/KOSSUTH AVE,Kossuth Playground,27
MOSHOLUE PWY N/KNOX PL GATES AV,Knox-gates Playground,17
E 164 ST & RIVER AVE,Mullaly Park (1),9
CROMWELL AVE & MCCLELLAN ST,Mullaly Playground (2),12
"STRONG ST, RESERVOIR AVE",Strong Street Playground,36
RESERVOIR AVE. & SEDGWICK,Fort #4 Playground,6
"BRUCKNER EXWY, BUHRE AVE",Playground For All Children,5
"BRUCKNER EXWY, WILKINSON AVE",Sweetgum Playground,8
ORCHARD BEACH  SECTION 6-7,Pelican Bay Playground,0
ON BEACHFRONT-SAND AREA (MPPA SECTION 11-12),Orchard Beach,2
"Grand Concourse, E Kingsbridge Rd, E 192 St",Poe Park,58
"Willis Ave, Bruckner Blvd, E 132 St, Willis Ave Br",Pulaski Park,12
E 193 ST & JEROME AVE,St James Park,66
JACKSON AVE & ST. MARYS ST,St Mary's Playground East,4
ST ANNS AVE & CRIMMINS AVE,St Mary's Playground South,11
ST ANNS AVE & E 147 ST,St Mary's Playground West,7
"233 ST, DEREIMER ST & BAYCHESTER AVE",High Rock Playground,1
"E 153 ST, WALTON AVE & GERARD AVE",Franz Sigel Park,110
"W 242 St, Spuyten Duyvil, Fieldston Rd",Brust Park,11
KAPPOCK ST & INDEPENDENCE AVE,Paul's Playground (lower),6
INDEPENDENCE & W 227 ST,Henry Hudson Park (upper),7
